Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
10/22/2017 16:40,10/22/2017 16:51,31624,North Capitol St & F St NW,31605,3rd & D St SE,W20529,Member
10/22/2017 17:58,10/22/2017 18:28,31605,3rd & D St SE,31101,14th & V St NW,W20529,Casual
10/22/2017 18:45,10/22/2017 18:50,31101,14th & V St NW,31120,10th & Florida Ave NW,W20529,Member
10/22/2017 18:56,10/22/2017 19:11,31120,10th & Florida Ave NW,31603,1st & M St NE,W20529,Member
10/23/2017 10:14,10/23/2017 10:35,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31258,Lincoln Memorial,W20529,Casual
10/23/2017 11:29,10/23/2017 14:38,31258,Lincoln Memorial,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W20529,Casual
10/23/2017 15:04,10/23/2017 15:32,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W20529,Casual
10/23/2017 15:33,10/23/2017 17:06,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31258,Lincoln Memorial,W20529,Casual
10/23/2017 17:13,10/23/2017 19:31,31258,Lincoln Memorial,31258,Lincoln Memorial,W20529,Casual
10/23/2017 19:55,10/23/2017 20:25,31258,Lincoln Memorial,31249,Jefferson Memorial,W20529,Casual
10/23/2017 21:47,10/23/2017 22:18,31249,Jefferson Memorial,31258,Lincoln Memorial,W20529,Casual
10/23/2017 22:34,10/23/2017 22:48,31258,Lincoln Memorial,31218,L'Enfant Plaza / 7th & C St SW,W20529,Casual
10/24/2017 6:55,10/24/2017 7:02,31218,L'Enfant Plaza / 7th & C St SW,31284,18th & C St NW,W20529,Member
10/24/2017 14:56,10/24/2017 15:03,31284,18th & C St NW,31633,Independence Ave & L'Enfant Plaza SW/DOE,W20529,Member
10/24/2017 15:51,10/24/2017 15:59,31633,Independence Ave & L'Enfant Plaza SW/DOE,31623,Columbus Circle / Union Station,W20529,Member
10/24/2017 16:31,10/24/2017 16:55,31623,Columbus Circle / Union Station,31805,Pennsylvania & Minnesota Ave SE,W20529,Casual
10/28/2017 14:26,10/28/2017 14:32,31706,Fairfax Village,31701,Branch & Pennsylvania Ave SE,W20529,Casual
11/1/2017 9:41,11/1/2017 9:52,31701,Branch & Pennsylvania Ave SE,31606,Potomac & Pennsylvania Ave SE,W20529,Member
11/1/2017 20:16,11/1/2017 20:32,31606,Potomac & Pennsylvania Ave SE,31518,New York Ave & Hecht Ave NE,W20529,Member
11/2/2017 19:44,11/2/2017 19:50,31287,10th St & L'Enfant Plaza SW,31238,14th & G St NW,W20529,Member
11/2/2017 20:14,11/2/2017 20:30,31238,14th & G St NW,31627,3rd & M St NE,W20529,Member
11/2/2017 21:35,11/2/2017 21:38,31627,3rd & M St NE,31505,Eckington Pl & Q St NE,W20529,Member
11/3/2017 9:59,11/3/2017 10:11,31505,Eckington Pl & Q St NE,31265,5th St & Massachusetts Ave NW,W20529,Member
11/3/2017 10:13,11/3/2017 10:32,31265,5th St & Massachusetts Ave NW,31260,23rd & E St NW ,W20529,Member
11/3/2017 10:44,11/3/2017 10:50,31260,23rd & E St NW ,31100,19th St & Pennsylvania Ave NW,W20529,Member
11/3/2017 16:06,11/3/2017 16:44,31246,M St & Pennsylvania Ave NW,31247,Jefferson Dr & 14th St SW,W20529,Casual
11/3/2017 16:45,11/3/2017 17:00,31247,Jefferson Dr & 14th St SW,31258,Lincoln Memorial,W20529,Casual
11/3/2017 17:07,11/3/2017 17:35,31258,Lincoln Memorial,31247,Jefferson Dr & 14th St SW,W20529,Member
11/3/2017 17:36,11/3/2017 17:46,31247,Jefferson Dr & 14th St SW,31258,Lincoln Memorial,W20529,Casual
11/3/2017 17:50,11/3/2017 18:00,31258,Lincoln Memorial,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W20529,Member
11/3/2017 19:22,11/3/2017 19:45,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31203,14th & Rhode Island Ave NW,W20529,Member
11/4/2017 13:14,11/4/2017 13:26,31203,14th & Rhode Island Ave NW,31503,Florida Ave & R St NW,W20529,Casual
11/4/2017 14:18,11/4/2017 14:30,31503,Florida Ave & R St NW,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
11/4/2017 14:45,11/4/2017 15:03,31200,Massachusetts Ave & Dupont Circle NW,31226,34th St & Wisconsin Ave NW,W20529,Member
11/4/2017 15:16,11/4/2017 15:44,31226,34th St & Wisconsin Ave NW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W20529,Casual
11/4/2017 16:37,11/4/2017 16:58,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31249,Jefferson Memorial,W20529,Casual
11/4/2017 17:13,11/4/2017 17:34,31249,Jefferson Memorial,31225,C & O Canal & Wisconsin Ave NW,W20529,Member
11/4/2017 18:10,11/4/2017 18:58,31225,C & O Canal & Wisconsin Ave NW,31615,6th & H St NE,W20529,Member
11/5/2017 1:56,11/5/2017 1:01,31615,6th & H St NE,31627,3rd & M St NE,W20529,Member
11/5/2017 8:33,11/5/2017 8:53,31627,3rd & M St NE,31200,Massachusetts Ave & Dupont Circle NW,W20529,Casual
11/5/2017 8:58,11/5/2017 9:03,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W20529,Member
11/5/2017 11:05,11/5/2017 11:30,31205,21st & I St NW,31262,11th & F St NW,W20529,Member
11/6/2017 8:50,11/6/2017 8:59,31522,2nd St & Seaton Pl NE,31637,North Capitol St & G Pl NE,W20529,Member
11/6/2017 9:04,11/6/2017 9:13,31637,North Capitol St & G Pl NE,31217,USDA / 12th & Independence Ave SW,W20529,Member
11/6/2017 16:19,11/6/2017 17:02,31217,USDA / 12th & Independence Ave SW,31288,4th St & Madison Dr NW,W20529,Casual
11/6/2017 17:21,11/6/2017 17:34,31288,4th St & Madison Dr NW,31290,17th St & Independence Ave SW,W20529,Casual
11/6/2017 17:36,11/6/2017 17:57,31290,17th St & Independence Ave SW,31293,31st & Water St NW,W20529,Casual
11/6/2017 17:59,11/6/2017 18:15,31293,31st & Water St NW,31236,37th & O St NW / Georgetown University,W20529,Casual
11/6/2017 18:18,11/6/2017 18:21,31236,37th & O St NW / Georgetown University,31295,Potomac & M St NW,W20529,Member
11/6/2017 19:24,11/6/2017 19:37,31295,Potomac & M St NW,31110,20th St & Florida Ave NW,W20529,Member
11/6/2017 19:49,11/6/2017 20:03,31110,20th St & Florida Ave NW,31281,8th & O St NW,W20529,Casual
11/7/2017 7:50,11/7/2017 8:01,31281,8th & O St NW,31239,Rhode Island & Connecticut Ave NW,W20529,Member
11/8/2017 13:11,11/8/2017 13:18,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31301,Ward Circle / American University,W20529,Member
11/8/2017 21:34,11/8/2017 21:46,31301,Ward Circle / American University,31305,Connecticut Ave & Newark St NW / Cleveland Park,W20529,Member
11/8/2017 22:02,11/8/2017 22:04,31305,Connecticut Ave & Newark St NW / Cleveland Park,31307,3000 Connecticut Ave NW / National Zoo,W20529,Member
11/9/2017 7:01,11/9/2017 7:12,31307,3000 Connecticut Ave NW / National Zoo,31110,20th St & Florida Ave NW,W20529,Member
11/9/2017 8:02,11/9/2017 8:08,31110,20th St & Florida Ave NW,31255,24th & N St NW,W20529,Member
11/9/2017 8:19,11/9/2017 8:32,31255,24th & N St NW,31104,Adams Mill & Columbia Rd NW,W20529,Member
11/9/2017 8:41,11/9/2017 8:48,31104,Adams Mill & Columbia Rd NW,31234,20th & O St NW / Dupont South,W20529,Member
11/9/2017 9:00,11/9/2017 9:09,31234,20th & O St NW / Dupont South,31202,14th & R St NW,W20529,Member
11/9/2017 9:09,11/9/2017 9:24,31202,14th & R St NW,31624,North Capitol St & F St NW,W20529,Member
11/9/2017 13:14,11/9/2017 13:25,31624,North Capitol St & F St NW,31505,Eckington Pl & Q St NE,W20529,Member
11/9/2017 15:20,11/9/2017 15:31,31505,Eckington Pl & Q St NE,31111,10th & U St NW,W20529,Member
11/9/2017 18:47,11/9/2017 18:53,31111,10th & U St NW,31203,14th & Rhode Island Ave NW,W20529,Member
11/9/2017 23:35,11/9/2017 23:43,31203,14th & Rhode Island Ave NW,31506,1st & Rhode Island Ave NW,W20529,Member
11/10/2017 7:51,11/10/2017 8:02,31506,1st & Rhode Island Ave NW,31216,14th St & New York Ave NW,W20529,Member
11/10/2017 8:38,11/10/2017 8:42,31216,14th St & New York Ave NW,31277,17th & G St NW,W20529,Member
11/11/2017 18:05,11/11/2017 18:13,31277,17th & G St NW,31203,14th & Rhode Island Ave NW,W20529,Member
11/11/2017 19:39,11/11/2017 19:46,31203,14th & Rhode Island Ave NW,31278,18th & R St NW,W20529,Member
11/11/2017 21:13,11/11/2017 21:16,31278,18th & R St NW,31229,New Hampshire Ave & T St NW,W20529,Member
11/12/2017 9:46,11/12/2017 9:51,31229,New Hampshire Ave & T St NW,31213,17th & K St NW,W20529,Member
11/13/2017 13:33,11/13/2017 13:54,31213,17th & K St NW,31624,North Capitol St & F St NW,W20529,Member
11/14/2017 8:40,11/14/2017 8:55,31630,15th & East Capitol St NE,31243,4th & C St SW,W20529,Member
11/15/2017 6:14,11/15/2017 6:30,31614,11th & H St NE,31628,1st & K St SE,W20529,Member
